city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population,estimated_population_2019,is_last,order_for_place,place_type,state
São José do Divino,2210052,246,4594.69555,2022-02-22,0.0528,13,5354.0,5346.0,True,694,city,PI
São José do Peixe,2210102,253,6762.89762,2022-02-22,0.0119,3,3741.0,3745.0,True,653,city,PI
São José do Piauí,2210201,250,3731.34328,2022-02-22,0.036,9,6700.0,6705.0,True,673,city,PI
São Julião,2210300,362,5681.99655,2022-02-22,0.0387,14,6371.0,6363.0,True,660,city,PI
São Lourenço do Piauí,2210359,69,1507.53769,2022-02-22,0.0435,3,4577.0,4573.0,True,661,city,PI
São Luis do Piauí,2210375,179,6764.92819,2022-02-22,0.0056,1,2646.0,2644.0,True,653,city,PI
São Miguel da Baixa Grande,2210383,196,7986.96007,2022-02-22,0.0153,3,2454.0,2452.0,True,658,city,PI
São Miguel do Fidalgo,2210391,216,7109.94075,2022-02-22,0.0185,4,3038.0,3039.0,True,599,city,PI
São Miguel do Tapuio,2210409,665,3770.05499,2022-02-22,0.0211,14,17639.0,17662.0,True,632,city,PI
São Pedro do Piauí,2210508,2064,14409.38285,2022-02-22,0.015,31,14324.0,14291.0,True,662,city,PI
São Raimundo Nonato,2210607,4148,11893.22476,2022-02-22,0.0162,67,34877.0,34710.0,True,676,city,PI
Sebastião Barros,2210623,25,724.4277,2022-02-22,0.12,3,3451.0,3469.0,True,606,city,PI
Sebastião Leal,2210631,481,11178.24773,2022-02-22,0.0187,9,4303.0,4294.0,True,596,city,PI
Sigefredo Pacheco,2210656,464,4613.24319,2022-02-22,0.0323,15,10058.0,10041.0,True,646,city,PI
Simões,2210706,994,6785.44611,2022-02-22,0.0151,15,14649.0,14633.0,True,632,city,PI
Simplício Mendes,2210805,1978,15518.59407,2022-02-22,0.0243,48,12746.0,12711.0,True,651,city,PI
Socorro do Piauí,2210904,218,4777.55862,2022-02-22,0.0321,7,4563.0,4569.0,True,647,city,PI
Sussuapara,2210938,558,8245.89922,2022-02-22,0.0251,14,6767.0,6730.0,True,626,city,PI
Tamboril do Piauí,2210953,56,1911.91533,2022-02-22,0.1429,8,2929.0,2919.0,True,597,city,PI
Tanque do Piauí,2210979,420,15146.05121,2022-02-22,0.0024,1,2773.0,2765.0,True,611,city,PI
Teresina,2211001,119062,13715.63517,2022-02-22,0.0229,2729,868075.0,864845.0,True,702,city,PI
União,2211100,2577,5782.04582,2022-02-22,0.0268,69,44569.0,44485.0,True,672,city,PI
Uruçuí,2211209,4083,18854.76795,2022-02-22,0.0169,69,21655.0,21558.0,True,663,city,PI
Valença do Piauí,2211308,2193,10478.28372,2022-02-22,0.0342,75,20929.0,20918.0,True,659,city,PI
Várzea Branca,2211357,204,4131.22722,2022-02-22,0.0588,12,4938.0,4947.0,True,634,city,PI
Várzea Grande,2211407,561,12790.69767,2022-02-22,0.0018,1,4386.0,4391.0,True,665,city,PI
Vera Mendes,2211506,388,12597.4026,2022-02-22,0.0077,3,3080.0,3077.0,True,649,city,PI
Vila Nova do Piauí,2211605,349,11822.49322,2022-02-22,0.0086,3,2952.0,2971.0,True,657,city,PI
Wall Ferraz,2211704,335,7492.73093,2022-02-22,0.009,3,4471.0,4462.0,True,610,city,PI
,22,364093,11095.38989,2022-02-22,0.0209,7619,3281480.0,3273227.0,False,706,state,PI
,41,2288231,19868.56638,2022-02-22,0.0184,42105,11516840.0,11433957.0,False,711,state,PR
,33,1967184,11327.66665,2022-02-22,0.0363,71347,17366189.0,17264943.0,False,704,state,RJ
,24,473741,13404.60901,2022-02-22,0.0169,8027,3534165.0,3506853.0,True,663,state,RN
,11,364123,20268.91776,2022-02-22,0.0193,7020,1796460.0,1777225.0,False,684,state,RO
,14,152146,24104.97147,2022-02-22,0.014,2126,631181.0,605761.0,True,688,state,RR
,43,2111826,18487.53385,2022-02-22,0.018,37978,11422973.0,11377239.0,False,701,state,RS
,42,1593501,21971.74161,2022-02-22,0.0133,21243,7252502.0,7164788.0,False,713,state,SC
,28,319379,13773.32973,2022-02-22,0.0195,6230,2318822.0,2298696.0,False,700,state,SE
,35,4954240,10702.76817,2022-02-22,0.033,163493,46289333.0,45919049.0,False,710,state,SP
,17,296677,18656.02095,2022-02-22,0.0138,4095,1590248.0,1572866.0,True,668,state,TO
,12,117850,13175.39996,2022-02-21,0.0166,1959,894470.0,881935.0,False,690,state,AC
Água Branca,2700102,858,4241.2259,2022-02-21,0.0338,29,20230.0,20196.0,True,614,city,AL
Anadia,2700201,1692,9654.228,2022-02-21,0.0213,36,17526.0,17545.0,True,655,city,AL
Arapiraca,2700300,35567,15261.72832,2022-02-21,0.0153,545,233047.0,231747.0,True,660,city,AL
Atalaia,2700409,1798,3796.05194,2022-02-21,0.0306,55,47365.0,47185.0,True,652,city,AL
Barra de Santo Antônio,2700508,572,3559.87055,2022-02-21,0.0577,33,16068.0,15932.0,True,655,city,AL
Barra de São Miguel,2700607,928,11076.62927,2022-02-21,0.0086,8,8378.0,8322.0,True,649,city,AL
Batalha,2700706,1258,6860.07198,2022-02-21,0.0183,23,18338.0,18232.0,True,649,city,AL
Belém,2700805,210,4901.96078,2022-02-21,0.0381,8,4284.0,4344.0,True,626,city,AL
Belo Monte,2700904,596,8882.26528,2022-02-21,0.0151,9,6710.0,6704.0,True,620,city,AL
Boca da Mata,2701001,2294,8385.72891,2022-02-21,0.0214,49,27356.0,27281.0,True,663,city,AL
Branquinha,2701100,1055,10086.04207,2022-02-21,0.0152,16,10460.0,10494.0,True,649,city,AL
Cacimbinhas,2701209,1000,9183.57976,2022-02-21,0.012,12,10889.0,10858.0,True,639,city,AL
Cajueiro,2701308,821,3848.85847,2022-02-21,0.0402,33,21331.0,21264.0,True,638,city,AL
Campestre,2701357,287,4127.12108,2022-02-21,0.0209,6,6954.0,6936.0,True,641,city,AL
Campo Alegre,2701407,3123,5427.81167,2022-02-21,0.0263,82,57537.0,57063.0,True,647,city,AL
Campo Grande,2701506,621,6491.06303,2022-02-21,0.0177,11,9567.0,9558.0,True,642,city,AL
Canapi,2701605,574,3239.46047,2022-02-21,0.0209,12,17719.0,17722.0,True,640,city,AL
Capela,2701704,1318,7762.53018,2022-02-21,0.0152,20,16979.0,17053.0,True,657,city,AL
Carneiros,2701803,440,4804.01791,2022-02-21,0.025,11,9159.0,9081.0,True,633,city,AL
Chã Preta,2701902,446,6100.39666,2022-02-21,0.0247,11,7311.0,7311.0,True,621,city,AL
Coité do Nóia,2702009,615,5778.44593,2022-02-21,0.0341,21,10643.0,10693.0,True,641,city,AL
Colônia Leopoldina,2702108,478,2190.85159,2022-02-21,0.0439,21,21818.0,21698.0,True,647,city,AL
Coqueiro Seco,2702207,573,9771.48704,2022-02-21,0.0157,9,5864.0,5845.0,True,646,city,AL
Coruripe,2702306,5183,9046.32248,2022-02-21,0.0116,60,57294.0,56933.0,True,649,city,AL
Craíbas,2702355,1436,5907.27714,2022-02-21,0.0223,32,24309.0,24219.0,True,639,city,AL
Delmiro Gouveia,2702405,5468,10462.66886,2022-02-21,0.0258,141,52262.0,52016.0,True,654,city,AL
Dois Riachos,2702504,777,7020.87287,2022-02-21,0.0103,8,11067.0,11075.0,True,632,city,AL
Estrela de Alagoas,2702553,716,3922.21309,2022-02-21,0.0251,18,18255.0,18205.0,True,625,city,AL
Feira Grande,2702603,872,3931.82433,2022-02-21,0.0252,22,22178.0,22166.0,True,632,city,AL
Feliz Deserto,2702702,176,3682.77882,2022-02-21,0.0284,5,4779.0,4754.0,True,628,city,AL
Flexeiras,2702801,787,6145.07691,2022-02-21,0.0254,20,12807.0,12790.0,True,640,city,AL
Girau do Ponciano,2702900,2035,4934.88857,2022-02-21,0.0251,51,41237.0,40917.0,True,628,city,AL
Ibateguara,2703007,856,5477.69885,2022-02-21,0.0245,21,15627.0,15616.0,True,659,city,AL
Igaci,2703106,2043,7976.41823,2022-02-21,0.0152,31,25613.0,25631.0,True,637,city,AL
Igreja Nova,2703205,1986,8077.76784,2022-02-21,0.0111,22,24586.0,24499.0,True,625,city,AL
Importados/Indefinidos,,0,,2022-02-21,0.0,0,,,True,680,city,AL
Inhapi,2703304,713,3876.68552,2022-02-21,0.0238,17,18392.0,18385.0,True,641,city,AL
Jacaré dos Homens,2703403,509,9752.82621,2022-02-21,0.0098,5,5219.0,5253.0,True,625,city,AL
Jacuípe,2703502,311,4439.05224,2022-02-21,0.0129,4,7006.0,7021.0,True,632,city,AL
Japaratinga,2703601,624,7425.91931,2022-02-21,0.024,15,8403.0,8361.0,True,638,city,AL
Jaramataia,2703700,217,3766.70717,2022-02-21,0.0138,3,5761.0,5770.0,True,646,city,AL
Jequiá da Praia,2703759,778,6744.10541,2022-02-21,0.0154,12,11536.0,11580.0,True,646,city,AL
Joaquim Gomes,2703809,781,3243.2208,2022-02-21,0.0346,27,24081.0,23993.0,True,647,city,AL
Jundiá,2703908,193,4665.21634,2022-02-21,0.0259,5,4137.0,4155.0,True,635,city,AL
Junqueiro,2704005,1225,4955.10072,2022-02-21,0.04,49,24722.0,24727.0,True,649,city,AL
Lagoa da Canoa,2704104,1641,9234.14552,2022-02-21,0.0146,24,17771.0,17852.0,True,649,city,AL
Limoeiro de Anadia,2704203,1743,6058.18359,2022-02-21,0.0201,35,28771.0,28635.0,True,655,city,AL
Maceió,2704302,112268,10949.13006,2022-02-21,0.026,2918,1025360.0,1018948.0,True,698,city,AL
Major Isidoro,2704401,1166,5869.91542,2022-02-21,0.0197,23,19864.0,19804.0,True,639,city,AL
Maragogi,2704500,2265,6856.98716,2022-02-21,0.0225,51,33032.0,32704.0,True,654,city,AL
Maravilha,2704609,473,5253.22079,2022-02-21,0.0381,18,9004.0,9163.0,True,637,city,AL
Marechal Deodoro,2704708,8068,15402.82551,2022-02-21,0.0152,123,52380.0,51901.0,True,675,city,AL
Maribondo,2704807,711,5389.22156,2022-02-21,0.0253,18,13193.0,13264.0,True,657,city,AL
Mar Vermelho,2704906,174,4979.96566,2022-02-21,0.023,4,3494.0,3514.0,True,632,city,AL
